Year,D_Area,Hist_Mean,Ann_Mean,Hist_Max,Ann_Max,Hist_Min,Ann_Min,RiverCoeff,Hist_MaxQs,Ann_MaxQs
1988,221.73,14.06,10.46,1910.00,-,0.37,1.06,5162,18016,268
1988,247.28,13.13,7.99,3640.00,580.00,0.36,0.84,10111,49693,53
1988,633.18,30.38,20.33,6340.00,622.00,0.06,0.62,105667,24500,724
1988,417.08,24.03,19.11,1080.00,131.00,3.40,6.80,446,4652,499
1988,1980.65,116.94,85.67,13100.00,1120.00,5.41,20.50,23276,13000,194
1988,2090.62,80.72,62.50,1970.00,1970.00,14.30,17.90,1387,23534,9125
1988,597.46,25.27,20.09,3640.00,1204.00,0.00,0.54,-,16534,2600
1988,149.68,7.23,6.72,1300.00,608.00,0.00,0.10,-,8240,1520
1988,441.02,18.27,16.53,5980.00,1020.00,0.00,0.54,-,36300,36300
1988,226.66,8.49,9.31,1600.00,704.00,0.00,0.44,-,23833,5027
1988,1115.90,23.63,22.07,2680.00,2090.00,0.00,0.00,-,21200,17065
1988,146.46,5.07,3.62,598.00,-,0.00,0.12,-,20044,12709
1988,139.62,8.07,11.42,1770.00,1330.00,0.02,0.04,88500,78434,40210
1988,812.03,71.31,49.99,6160.00,2000.00,0.00,7.80,-,21927,4010
1988,175.30,17.01,13.62,1690.00,680.00,0.34,1.60,4971,1680,1425
1988,309.86,23.47,17.77,3050.00,1740.00,0.00,0.40,-,28706,969
1988,1506.00,101.66,78.96,11900.00,1210.00,16.60,25.50,717,56000,14700
1988,1538.81,108.49,113.16,14300.00,3200.00,12.60,24.00,1135,25292,9820
1988,1584.29,96.40,92.43,12800.00,-,0.41,6.40,31220,64000,9790
1987,622.80,36.18,39.94,9110.00,1310.00,1.59,4.75,6650,35715,8562
1987,820.69,63.43,43.84,4580.00,3060.00,2.85,5.80,1607,33900,12400
1987,221.73,14.28,10.74,1910.00,249.00,0.37,1.50,5162,18016,253
1987,247.28,13.29,10.88,3640.00,656.00,0.36,0.90,10111,49693,1885
1987,633.18,30.86,24.42,6340.00,1320.00,0.06,0.57,105667,24500,5310
1987,417.08,24.32,23.98,1080.00,401.00,3.40,5.20,446,4652,1387
1987,1980.65,118.36,125.23,13100.00,3730.00,5.41,20.60,23276,13000,988
1987,2090.62,98.94,98.94,1730.00,1730.00,14.30,14.30,1387,23534,23534
1987,597.46,25.42,28.58,3640.00,883.00,0.00,1.50,-,16534,3150
1987,149.68,7.27,6.19,1300.00,452.00,0.00,0.15,-,8240,8240
1987,441.02,18.33,15.01,5980.00,610.00,0.00,0.58,-,24734,7377
1987,226.66,8.46,6.41,1600.00,389.00,0.00,0.03,-,23833,5923
1987,1115.90,23.89,16.90,2680.00,723.00,0.00,0.02,-,21200,19402
1987,146.46,5.17,3.51,598.00,346.00,0.00,0.15,-,20044,13332
1987,139.62,7.51,6.45,1770.00,1390.00,0.02,0.02,88500,78434,78434
1987,812.03,72.05,56.00,6160.00,2990.00,0.00,6.30,-,21927,9625
1987,175.30,17.16,16.17,1690.00,756.00,0.34,0.60,4971,1680,1016
1987,309.86,23.69,26.98,3050.00,3050.00,0.00,0.19,-,28706,5932
1987,1506.00,102.92,94.66,11900.00,4550.00,16.60,19.00,717,56000,16400
1987,1538.81,108.23,105.95,14300.00,3330.00,12.60,28.80,1135,25292,14400
1987,1584.29,96.49,83.33,12800.00,6190.00,0.41,1.30,31220,64000,51500
1986,622.80,36.02,47.73,9110.00,1842.00,1.59,3.62,6650,35715,11021
1986,820.69,63.96,57.64,4580.00,3000.00,2.85,13.90,1607,33900,18800
1986,221.73,14.50,18.10,1910.00,760.00,0.37,2.40,5162,18016,11468
1986,247.28,13.37,13.43,3640.00,386.00,0.36,1.10,10111,49693,1770
1986,633.18,31.18,32.13,6340.00,1630.00,0.06,0.85,105667,24500,4150
1986,417.08,24.34,31.44,1080.00,762.00,3.40,6.16,446,4652,4652
1986,1980.65,118.03,138.02,13100.00,7530.00,5.41,46.80,23276,13000,489
1986,2090.62,-,-,-,-,-,-,1387,-,-
1986,597.46,25.33,23.12,3640.00,1010.00,0.00,1.20,-,16534,5460
1986,149.68,7.34,5.38,1300.00,516.00,0.00,0.35,-,6779,2760
